,0
detailed occupation recode,0.0639350538986927
education,0.056576875481088695
major occupation code,0.05440958196454293
weeks worked in year,0.04149807607991485
detailed industry recode,0.04071153800184102
major industry code,0.0398663343657617
age,0.0361922777313497
tax filer stat,0.03554938876714098
class of worker,0.03514549864425698
num persons worked for employer,0.03323931663923951
detailed household and family stat,0.03271158026879717
detailed household summary in household,0.0327077876979005
family members under 18,0.027608615947217974
dividends from stocks,0.026243952533597126
capital gains,0.024753972605979113
veterans benefits,0.024615673454172704
marital stat,0.023645487518227926
sex,0.020105697401498368
full or part time employment stat,0.013033011965001062
fill inc questionnaire for veteran's admin,0.01282288915764096
race,0.012308717676645653
enroll in edu inst last wk,0.012068126324636053
country of birth self,0.01189424123976357
reason for unemployment,0.010175746588662271
member of a labor union,0.009496980829803991
capital losses,0.009405016851365522
country of birth mother,0.008650394818751073
state of previous residence,0.008330651216259755
citizenship,0.008120700322966856
country of birth father,0.007681171395213404
migration code-change in msa,0.006644617736446978
region of previous residence,0.006510880314501977
year,0.005062681982649586
live in this house 1 year ago,0.0049751706356633285
migration prev res in sunbelt,0.004769155727023522
own business or self employed,0.0027011369725260526
migration code-move within reg,0.0024540374814960852
migration code-change in reg,0.0018852781034701671
hispanic origin,0.0018082274379846996
wage per hour,0.0015339286497431104
