decile,n,positives,pop_weight,weighted_positives,weighted_pos_rate,lift,cum_captured
D1,3991,1902,7096414.73,3425449.3,0.4827,7.4757,0.764
D2,3990,378,7000624.22,715256.48,0.1022,1.5823,0.9235
D3,3991,112,6922893.94,199600.97,0.0288,0.4465,0.9681
D4,3990,46,6988487.3,81894.28,0.0117,0.1815,0.9863
D5,3990,24,6987418.92,39321.95,0.0056,0.0872,0.9951
D6,3991,8,7055118.43,12382.25,0.0018,0.0272,0.9979
D7,3990,6,7221349.88,9575.33,0.0013,0.0205,1.0
D8,3991,0,6866349.63,0.0,0.0,0.0,1.0
D9,3990,0,6730944.21,0.0,0.0,0.0,1.0
D10,3991,0,6566980.98,0.0,0.0,0.0,1.0
